ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Adhatoda basica,15,Parque o Jardín Histórico,Jardines Glorieta Goya,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,543,929","414,107,554"
"Agapanthus
africanus",07,Plaza o Jardín,"PEDRO SANTOS GóMEZ, JARDINES
PLAZA",TRIANA OESTE,,Triana,Arbusto,,0,"23,335,492","414,220,914"
"Agapanthus
africanus",14,Medianas y Glorietas,Avenida Expo 92,TRIANA OESTE,,Triana,Arbusto,,0,"23,320,401","414,231,771"
"Agapanthus
africanus",14,Medianas y Glorietas,Avenida Expo 92,TRIANA OESTE,,Triana,Arbusto,,0,"23,320,093","414,231,636"
"Agapanthus
praecox",04,Plaza o Jardín,"LOS LUCEROS, JARDINES PLAZA",PARQUE ALCOSA-JARDINES DEL EDEN,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,093,267","414,417,999"
Agave americana,13,Plaza o Jardín,PUEBLO PALESTINO JARDINES PLAZA,LOS PRINCIPES-LA FONTANILLA,,Macarena,Arbusto,,0,"23,648,250","414,456,229"
Agave americana,10,Parque Urbano,"DEL VALLE, JARDINES","SANTA
CATALINA",,Casco Antiguo,Arbusto,,0,"23,595,674","414,296,802"
Agave americana,18,Parque Urbano,"DEL VALLE, JARDINES","SANTA
CATALINA",,Casco Antiguo,Arbusto,,0,"23,595,425","414,297,379"
Agave americana,05,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,395,512","414,326,628"
Agave americana,10,Arbolado Viario,PZ PADRE JERONIMO DE CORDOBA,"SANTA
CATALINA",,Casco Antiguo,Arbusto,,0,"23,564,331","414,266,262"
Agave americana,13,Medianas y Glorietas,Avenida Expo 92,TRIANA OESTE,,Triana,Arbusto,,0,"23,322,995","414,232,980"
Agave americana,16,Medianas y Glorietas,Avenida Expo 92,TRIANA OESTE,,Triana,Arbusto,,0,"23,322,439","414,234,117"
Agave americana,10,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,387,016","414,308,848"
Agave americana,10,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,387,057","414,308,898"
Agave americana,05,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,395,547","414,327,262"
Agave americana,20,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,396,018","414,327,449"
ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Agave americana,18,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,396,441","414,328,015"
Agave americana,18,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,396,262","414,327,804"
Agave americana,10,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,395,328","414,327,087"
Agave americana,15,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,396,979","414,326,273"
Agave americana,10,Parque Periurbano,JARDIN AMERICANO,TRIANA OESTE,,Triana,Arbusto,,0,"23,401,571","414,333,544"
