UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,485,624","414,635,963"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,124","414,641,685"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,295","414,638,334"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,063","414,637,635"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,788","414,640,369"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,931","414,637,007"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,984","414,641,095"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,867","414,638,659"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,949","414,639,359"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,672","414,639,753"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,029","414,637,980"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,779","414,636,297"
,Fraxinus angustifolia,70,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,485,522","414,635,253"
Parque San Jerónimo I y II,Fraxinus angustifolia,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,156","414,636,398"
Parque San Jerónimo I y II,,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,942","414,642,116"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,062","414,637,200"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,465","414,638,639"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,488,508","414,643,352"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,493,173","414,644,052"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,493,574","414,645,080"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,916","414,643,682"
Parque San Jerónimo I y II,Tipuana tipu,140,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,494,020","414,645,888"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,491,238","414,643,864"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,495,439","414,645,959"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,634","414,640,560"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,609","414,646,526"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,494,249","414,645,336"
Parque San Jerónimo I y II,Celtis australis,30,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,495,788","414,645,298"
Parque San Jerónimo I y II,Populus alba,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,495,066","414,639,587"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,071","414,646,243"
Parque San Jerónimo I y II,Fraxinus angustifolia,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,491,974","414,644,241"
Parque San Jerónimo I y II,Celtis australis,30,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,491,568","414,643,297"
Parque San Jerónimo I y II,Pyrus calleryana,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,499,598","414,649,443"
Parque San Jerónimo I y II,Pyrus calleryana,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,489,883","414,645,322"
Parque San Jerónimo I y II,Pyrus calleryana,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,512","414,650,387"
Parque San Jerónimo I y II,Celtis australis,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,sellado/posición arbolada,"23,493,804","414,646,242"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,490,041","414,644,077"
Parque San Jerónimo I y II,Pyrus calleryana,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,493,018","414,646,886"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,494,545","414,646,540"
Parque San Jerónimo I y II,Celtis australis,80,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,502,157","414,648,404"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,489,423","414,643,802"
Parque San Jerónimo I y II,Celtis australis,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,566","414,647,319"
Parque San Jerónimo I y II,Celtis australis,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,499,575","414,648,267"
Parque San Jerónimo I y II,Pyrus calleryana,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,500,595","414,649,669"
Parque San Jerónimo I y II,Pyrus calleryana,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,495,317","414,648,016"
Parque San Jerónimo I y II,Pyrus calleryana,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,886","414,648,703"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,490,673","414,644,434"
Parque San Jerónimo I y II,Pyrus calleryana,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,491,187","414,645,950"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,491,689","414,644,998"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,553","414,648,748"
Parque San Jerónimo I y II,Celtis australis,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,099","414,647,154"
Parque San Jerónimo I y II,Pyrus calleryana,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,748","414,649,182"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,488,805","414,643,542"
Parque San Jerónimo I y II,Celtis australis,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,500,523","414,648,487"
Parque San Jerónimo I y II,Populus alba,100,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,015","414,647,030"
Parque San Jerónimo I y II,Melia azedarach,70,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,139","414,647,703"
Parque San Jerónimo I y II,Populus alba,100,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,502,924","414,647,825"
Parque San Jerónimo I y II,Populus nigra,90,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,161","414,648,151"
Parque San Jerónimo I y II,Melia azedarach,90,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,414","414,647,881"
Parque San Jerónimo I y II,Melia azedarach,90,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,922","414,647,991"
Parque San Jerónimo I y II,Celtis australis,40,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,498,620","414,646,439"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,500,904","414,647,336"
Parque San Jerónimo I y II,Ulmus pumila,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,960","414,647,393"
Parque San Jerónimo I y II,Populus nigra,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,733","414,647,895"
Parque San Jerónimo I y II,Populus alba,120,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,497,383","414,647,030"
Parque San Jerónimo I y II,Populus alba,90,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,497,081","414,647,030"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,502,480","414,645,360"
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,169","414,641,741"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,829","414,640,357"
Parque San Jerónimo I y II,Populus nigra,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,498,912","414,640,110"
Parque San Jerónimo I y II,Fraxinus angustifolia,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,058","414,643,890"
Parque San Jerónimo I y II,Fraxinus angustifolia,70,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,738","414,643,132"
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,500,069","414,642,146"
Parque San Jerónimo I y II,Populus nigra,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,498,269","414,640,758"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,501,537","414,645,599"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,499,707","414,641,588"
Parque San Jerónimo I y II,Populus nigra,,Parque Periurbano,,Triana,,Árbol Zona Verde,,Tocón,"23,492,305","414,634,278"
Parque San Jerónimo I y II,Populus nigra,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,609","414,638,015"
Parque San Jerónimo I y II,Populus nigra,90,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,687","414,636,449"
Parque San Jerónimo I y II,Populus nigra,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,500,725","414,643,280"
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,063","414,637,311"
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,496","414,637,997"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,494,019","414,638,693"
Parque San Jerónimo I y II,Populus nigra,,Parque Periurbano,,Triana,,Árbol Zona Verde,,Tocón,"23,492,606","414,633,355"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,495,666","414,638,914"
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,496,392","414,639,307"
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,134","414,637,349"
Parque San Jerónimo I y II,Fraxinus angustifolia,40,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,492,751","414,634,019"
Parque San Jerónimo I y II,Populus nigra,80,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,166","414,635,431"
Parque San Jerónimo I y II,Populus alba,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,690","414,646,272"
Parque San Jerónimo I y II,Populus alba,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,467","414,645,218"
,Populus alba,50,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,506,876","414,644,751"
Parque San Jerónimo I y II,Populus alba,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,082","414,645,502"
Parque San Jerónimo I y II,Fraxinus excelsior,55,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,504,697","414,646,870"
,Populus alba,40,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,933","414,644,113"
,Populus alba,60,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,589","414,644,508"
Parque San Jerónimo I y II,Populus alba,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,031","414,644,903"
,Populus alba,65,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,558","414,643,890"
,Populus alba,60,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,203","414,644,204"
,Populus alba,45,,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,506,389","414,645,177"
Parque San Jerónimo I y II,Populus alba,35,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,504,778","414,644,498"
Parque San Jerónimo I y II,Fraxinus excelsior,70,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,515,994","414,640,767"
Parque San Jerónimo I y II,Populus alba,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,503,300","414,649,591"
Parque San Jerónimo I y II,Fraxinus angustifolia,45,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,507,940","414,646,217"
Parque San Jerónimo I y II,Quercus suber,110,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,510,472","414,648,807"
Parque San Jerónimo I y II,Celtis australis,70,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,515,119","414,642,283"
Parque San Jerónimo I y II,Populus alba,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,508,533","414,645,848"
Parque San Jerónimo I y II,Ulmus pumila,110,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,505,128","414,649,632"
Parque San Jerónimo I y II,Fraxinus angustifolia,,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,Tocón,"23,515,135","414,641,291"
Parque San Jerónimo I y II,Populus alba,110,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,509,270","414,645,346"
Parque San Jerónimo I y II,Celtis australis,70,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,512,744","414,645,687"
Parque San Jerónimo I y II,Populus alba,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,509,614","414,645,029"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Populus alba,80,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,513,854","414,643,438"
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,512,311","414,643,302"
