"","Especie","Porte","Origen","Importancia_polinizadores","Principal_grupo","Importancia_frugivoros","."
"303","Phyllostachys aurea","arbusto","exotica","nula","varios","nula",1
"304","Phyllostachys nigra","arbusto","exotica","nula","varios","nula",1
"305","Phyllostachys viridiglaucescens","arbusto","exotica","nula","varios","nula",1
"306","Phytolacca dioica","arbol","exotica","baja","varios","nula",60
"307","Pinus halepensis","arbol","nativa","nula","varios","nula",114
"308","Pinus nigra","arbol","nativa","nula","varios","nula",1
"309","Pinus pinaster","arbol","nativa","nula","varios","nula",11
"310","Pinus pinea","arbol","nativa","nula","varios","nula",1743
"311","Pistacia lentiscus","arbol","nativa","nula","varios","alta",1
"312","Pistacia lentiscus","arbusto","nativa","nula","varios","alta",258
"313","Pistacia terebinthus","arbol","nativa","nula","varios","alta",1
"314","Pistacia terebinthus","arbusto","nativa","nula","varios","alta",3
"315","Pittosporum tobira","arbusto","exotica","media","varios","nula",409
"316","Pittosporum tobira","arbusto","exotica","media","varios","alta",1
"317","Platanus hispanica","arbol","nativa","nula","varios","nula",187
"318","Plumbago auriculata","arbusto","exotica","media","mariposas","nula",9
"319","Plumbago capensis","arbusto","exotica","media","mariposas","nula",79
"320","Plumbago sp","arbusto","exotica","media","mariposas","nula",21
"321","Plumeria rubra","arbusto","exotica","baja","varios","nula",3
"322","Polygala myrtifolia","arbusto","exotica","media","varios","nula",2
"323","Populus alba","arbol","nativa","nula","varios","nula",140
"324","Populus alba","arbusto","nativa","nula","varios","nula",2
"325","Populus alba bolleana","arbol","nativa","nula","varios","nula",2
"326","Populus nigra","arbol","nativa","nula","varios","nula",51
"327","Populus nigra","arbusto","nativa","nula","varios","nula",3
"328","Populus x canadensis","arbol","exotica","nula","varios","nula",9
"329","Populus x canadensis","arbusto","exotica","nula","varios","nula",2
"330","Portulacaria affra","arbusto","exotica","baja","varios","nula",25
"331","Prunus cerasifera","arbusto","exotica","alta","varios","nula",3
"332","Prunus cerasifera pisardii","arbusto","exotica","alta","varios","nula",20
"333","Prunus cerasus","arbol","exotica","alta","varios","nula",1
"334","Prunus sp","arbusto","exotica","alta","varios","nula",2
"335","Punica granatum","arbol","exotica","media","varios","nula",116
"336","Punica granatum","arbusto","exotica","media","varios","nula",696
"337","Pyracantha angustifolia","arbusto","exotica","media","varios","nula",3
"338","Pyracantha coccinea","arbusto","nativa","media","varios","alta",22
"339","Pyracantha sp","arbusto","exotica","media","varios","nula",4
"340","Pyrus bourgaeana","arbol","nativa","alta","varios","alta",1
"341","Pyrus calleryana","arbol","exotica","alta","varios","nula",9
"342","Pyrus communis","arbol","nativa","alta","varios","alta",5
"343","Pyrus communis","arbusto","nativa","alta","varios","alta",1
"344","Quercus faginea","arbol","nativa","nula","varios","alta",1
"345","Quercus ilex","arbol","nativa","nula","varios","alta",800
"346","Quercus ilex","arbusto","nativa","nula","varios","alta",5
"347","Quercus sp","arbol","nativa","nula","varios","alta",1
"348","Quercus suber","arbol","nativa","nula","varios","alta",511
"349","Retama monosperma","arbusto","nativa","media","varios","nula",49
"350","Retama sphaerocarpa","arbusto","nativa","media","varios","nula",29
"351","Rhododendron sp","arbusto","exotica","media","varios","nula",3
"352","Rhus typhina","arbusto","exotica","baja","varios","nula",7
"353","Ricinus communis","arbol","exotica","baja","varios","nula",1
"354","Ricinus communis","arbusto","exotica","baja","varios","nula",10
"355","Robinia pseudoacacia","arbol","exotica","media","varios","nula",49
"356","Robinia pseudoacacia","arbusto","exotica","media","varios","nula",1
"357","Rosa banksiae","arbusto","exotica","media","varios","nula",1
"358","Rosa canina","arbusto","nativa","alta","varios","alta",5
"359","Rosa sp","arbusto","exotica","baja","varios","nula",943
"360","Rosmarinus officinalis","arbusto","nativa","alta","varios","nula",29
