id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
452,Z.V. Alcalde Isacio Contreras,Plaza o Jardín,LA FLORIDA,Nervión,45,1,1,11,21,13,1,45
453,Z.V. Av. de la Buhaira,Medianas y Glorietas,HUERTA DEL PILAR,Nervión,1,0,0,0,1,0,0,1
454,Z.V. Av. Portugal- Rda. Capitanía,Jardinería Asociada a Viario,EL PRADO-PARQUE MARIA LUISA,Sur,8,1,1,5,3,0,6,3
455,Z.V. Avenida de Grecia,Jardinería Asociada a Viario,EL CANO-BERMEJALES,Bellavista-La Palmera,6,7,0,8,5,0,0,13
456,Z.V. Avenidas Eritaña y Moliní,,EL PRADO-PARQUE MARIA LUISA,Sur,3,0,0,0,3,0,0,3
457,Z.V. Avenidas Eritaña y Moliní,,SECTOR SUR-LA PALMERA-REINA MERCEDES,Bellavista-La Palmera,1,0,0,0,1,0,0,1
458,Z.V. Bermejales Sur,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,96,0,0,0,96,0,0,96
459,Z.V. Bermejales Sur,Parque Periurbano,EL CANO-BERMEJALES,Bellavista-La Palmera,93,0,0,0,93,0,0,93
460,Z.V. Calle Amor,Medianas y Glorietas,SANTA AURELIA-CANTABRICO-ATLANTICO- LA ROMERIA,Cerro-Amate,4,1,0,3,2,0,0,5
461,Z.V. Calle Amsterdam,Plaza o Jardín,EL CANO-BERMEJALES,Bellavista-La Palmera,2,0,0,0,2,0,0,2
462,Z.V. Canal Ranilla Torbizcon,Plaza o Jardín,PALMETE,Cerro-Amate,0,3,0,0,3,0,0,3
463,Z.V. Dolores Ibarruri,Plaza o Jardín,AVENIDA DE LA PAZ,Sur,1,0,0,0,1,0,0,1
464,Z.V. Dr. Pedro de Castro,,HUERTA DE LA SALUD,Sur,1,0,0,0,0,1,0,1
465,Z.V. Dr. Pedro de Castro,Jardinería Asociada a Viario,HUERTA DE LA SALUD,Sur,5,0,0,1,4,0,0,5
466,Z.V. Eduardo Dato-Campo Sevilla,Jardinería Asociada a Viario,LA BUHAIRA,Nervión,10,0,0,3,7,0,1,9
467,Z.V. General Palanca y Nucleo residencial Ruiz de Toledo,Plaza o Jardín,GIRALDA SUR,Sur,15,8,6,0,15,2,6,17
468,Z.V. Glorieta Menacho López y próxima,Medianas y Glorietas,PALMETE,Cerro-Amate,3,11,0,3,11,0,0,14
469,Z.V. Huerta San Gonzalo,Plaza o Jardín,EL CANO-BERMEJALES,Bellavista-La Palmera,23,0,0,3,20,0,0,23
470,Z.V. Jardín de Andalucía,Parque Urbano,BELLAVISTA,Bellavista-La Palmera,33,4,1,25,11,0,2,35
471,Z.V. Jardín de la Alhambra,Parque Urbano,BELLAVISTA,Bellavista-La Palmera,85,7,0,7,85,0,0,92
472,Z.V. Jardín de la Calle Navas,Plaza o Jardín,PALMETE,Cerro-Amate,9,7,5,2,9,0,5,11
473,Z.V. Jardín de la Primavera,Parque Urbano,BELLAVISTA,Bellavista-La Palmera,16,16,15,13,4,0,15,17
474,Z.V. Jardín de la Solidaridad,Plaza o Jardín,BELLAVISTA,Bellavista-La Palmera,6,1,0,6,1,0,0,7
475,Z.V. Jardín Rafael García Miguel,Plaza o Jardín,LA PLATA,Cerro-Amate,23,13,9,8,19,0,9,27
476,Z.V. Jardines Calle Huestes,Plaza o Jardín,LA BUHAIRA,Nervión,13,0,0,13,0,0,0,13
477,Z.V. Jardines Calle Monzón,Parque Urbano,SECTOR SUR-LA PALMERA-REINA MERCEDES,Bellavista-La Palmera,21,0,0,15,6,0,0,21
478,Z.V. Jardines de Don Otilio,Parque Urbano,LOS REMEDIOS,Los Remedios,9,4,0,5,8,0,5,8
479,Z.V. Jardines de Hércules,,BELLAVISTA,Bellavista-La Palmera,137,230,0,87,255,25,4,363
480,Z.V. Jardines de Hércules,Parque Urbano,BELLAVISTA,Bellavista-La Palmera,16,62,0,16,62,0,0,78
481,Z.V. Jardines de la calle Algaba,Parque Urbano,LA PLATA,Cerro-Amate,3,0,0,0,3,0,0,3
482,Z.V. Jardines de la Calle Imprenta,Plaza o Jardín,PALMETE,Cerro-Amate,71,56,0,9,113,5,4,123
483,Z.V. Jardines de la Calzada,Parque Urbano,LA CALZADA,Nervión,54,24,7,40,31,0,5,73
484,Z.V. Jardines de la Plaza de la Carlota,Plaza o Jardín,PALMETE,Cerro-Amate,0,7,7,0,0,0,7,0
485,Z.V. Jardines de Manuel Ferrand,Parque Urbano,LOS REMEDIOS,Los Remedios,16,3,0,10,9,0,0,19
486,Z.V. JARDINES DE SAN BERNARDO,Parque Urbano,SAN BERNARDO,Nervión,20,16,4,1,16,15,2,34
487,Z.V. Jardines Del Mediterráneo,Plaza o Jardín,PALMETE,Cerro-Amate,2,12,1,7,4,2,2,12
488,Z.V. Jardines del Paseo de Europa,Parque Urbano,EL CANO-BERMEJALES,Bellavista-La Palmera,94,8,8,33,60,1,8,94
489,Z.V. Jardines del Prado de San Sebastián,Parque Urbano,EL PRADO-PARQUE MARIA LUISA,Sur,113,24,20,51,65,1,7,130
490,Z.V. Jardines Felipe II,Parque Urbano,FELIPE II-LOS DIEZ MANDAMIENTOS,Sur,108,1,0,0,109,0,0,109
491,z.v. Jardines Manuel Arellano,Parque Urbano,LOS REMEDIOS,Los Remedios,41,16,3,15,39,0,3,54
492,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,132,25,9,77,71,0,16,141
493,Z.V. Jardines Plaza Poeta Miguel Hernández (C/Estoril),,ROCHELAMBERT,Cerro-Amate,2,0,0,0,2,0,0,2
494,Z.V. Jardines Plaza Poeta Miguel Hernández (C/Estoril),Plaza o Jardín,ROCHELAMBERT,Cerro-Amate,18,7,0,3,22,0,0,25
495,Z.V. Juan Carvallo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,33,34,14,2,38,13,25,42
496,Z.V. LAS MELIAS,Plaza o Jardín,PALMETE,Cerro-Amate,41,3,0,41,3,0,0,44
497,Z.V. LOS NARANJITOS,Plaza o Jardín,BELLAVISTA,Bellavista-La Palmera,0,3,0,0,3,0,0,3
498,Z.V. Luis Rosales,Jardinería Asociada a Viario,TABLADILLA-LA ESTRELLA,Sur,3,0,0,3,0,0,0,3
499,Z.V. Parque Cavestany,Parque Urbano,LA CALZADA,Nervión,1,3,2,2,0,0,0,4
500,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,107,13,11,17,89,3,18,102
501,Z.V. Parque Ciudad Jardín,Parque Urbano,CIUDAD JARDIN,Nervión,6,0,0,1,5,0,0,6
502,Z.V. Parque de la Buhaira,Parque o Jardín Histórico,LA BUHAIRA,Nervión,118,54,24,86,61,1,24,148
503,Z.V. Parque de la Música,Parque Urbano,LA PLATA,Cerro-Amate,75,16,13,22,23,33,16,75
504,Z.V. Parque de la Negrilla (Forja XXI),Parque Urbano,PALMETE,Cerro-Amate,0,1,0,1,0,0,1,0
505,Z.V. Parque Federico García Lorca,Parque Urbano,NERVION,Nervión,25,1,0,0,23,3,1,25
506,Z.V. Parque Hacienda de San Antonio,Parque Urbano,PALMETE,Cerro-Amate,0,52,0,2,50,0,2,50
507,Z.V. Parque Jardines de San Diego,Plaza o Jardín,SAN DIEGO,Norte,19,3,0,14,8,0,0,22
508,Z.V. Parque Pirineos Santo Domingo,Parque Urbano,HUERTA DEL PILAR,Nervión,10,10,10,0,10,0,10,10
509,Z.V. Parque Ranilla (Antigua cárcel),Parque Urbano,NERVION,Nervión,75,24,0,71,28,0,2,97
510,Z.V. Parque Rectora Rosario Valpuesta,Parque Urbano,GIRALDA SUR,Sur,36,0,0,7,29,0,0,36
511,Z.V. Parterres Calle Las Leandras,Jardinería Asociada a Viario,JUAN XXIII,Cerro-Amate,2,6,0,1,7,0,0,8
512,Z.V. Parterres Calles General Ollero y Tamar,Jardinería Asociada a Viario,SANTA AURELIA-CANTABRICO-ATLANTICO- LA ROMERIA,Cerro-Amate,2,2,0,0,4,0,0,4
513,Z.V. Parterres Gran Plaza,,NERVION,Nervión,8,0,0,3,3,2,0,8
514,Z.V. Parterres Gran Plaza,Plaza o Jardín,NERVION,Nervión,9,13,0,0,20,2,0,22
515,Z.V. Plaza Aljarafe,Plaza o Jardín,EL PLANTINAR,Sur,2,8,4,0,6,0,4,6
516,Z.V. Plaza Cristo de La Misión,Plaza o Jardín,SECTOR SUR-LA PALMERA-REINA MERCEDES,Bellavista-La Palmera,14,0,0,0,14,0,0,14
517,Z.V. Plaza Juan XXIII,Plaza o Jardín,JUAN XXIII,Cerro-Amate,14,0,0,0,14,0,0,14
518,Z.V. Puerto de la Mora,Plaza o Jardín,ROCHELAMBERT,Cerro-Amate,34,4,1,17,20,0,1,37
519,Z.V. Puerto del Escudo,Jardinería Asociada a Viario,ROCHELAMBERT,Cerro-Amate,0,1,1,0,0,0,1,0
520,Z.V. Ramón y Cajal,Jardinería Asociada a Viario,EL JUNCAL-HISPALIS,Sur,29,8,0,14,23,0,0,37
521,Z.V. Rotonda Avenida Finlandia,Medianas y Glorietas,EL CANO-BERMEJALES,Bellavista-La Palmera,1,0,0,0,1,0,0,1
522,Z.V. Rotonda final Palmete,Medianas y Glorietas,,,5,0,0,1,0,4,0,5
523,Z.V. Rotondas Palmete,Medianas y Glorietas,PALMETE,Cerro-Amate,4,3,0,0,7,0,0,7
524,Z.V. Venta de Antequera,Parque Urbano,BELLAVISTA,Bellavista-La Palmera,14,4,0,18,0,0,0,18
