id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
152,"Eufrates, Calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,12,18,0,7,22,1,1,29
153,FABRILO,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
154,"FACTORES 1 ( PARQUE APRENDICES DE RENFE), JARDINES CALLE",Parque Urbano,SAN JERONIMO,Norte,12,0,0,0,12,0,0,12
155,FERNANDO VI,Plaza o Jardín,BELLAVISTA,Bellavista-La Palmera,2,1,0,3,0,0,1,2
156,FERNANDO VILLALON,Arbolado Viario,HUERTA DE LA SALUD,Sur,1,0,0,0,0,1,0,1
157,FERNANDO ZOBEL,,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,2,5,0,2,5,0,0,7
158,FERNANDO ZOBEL,Jardinería Asociada a Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,18,9,0,11,16,0,0,27
159,FIDELIO,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,13,2,0,9,6,0,1,14
160,FINCA VALLADA_LOTE1,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,6,0,0,0,6,0,0,6
161,"Flor de Azalea, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,4,3,0,1,6,0,0,7
162,Flor de Gitanilla,Jardinería Asociada a Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,1,0,0,1,0,0,0,1
163,"Flor de Salvia, Calle",Jardinería Asociada a Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,9,1,0,5,5,0,0,10
164,FLOTA DE INDIAS,Arbolado Viario,LOS REMEDIOS,Los Remedios,1,0,0,0,1,0,0,1
165,FLOTA DE INDIAS,Arbolado Viario,TABLADA,Los Remedios,1,0,0,0,1,0,0,1
166,FRAGUA DE VULCANO,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,0,2,0,0,2,0,0,2
167,FRANCISCO ELIAS RIQUELME,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,5,0,0,0,5,0,0,5
168,FRAY MARCOS DE NIZA,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
169,GALLEGA A LA VENTANA,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,3,0,0,2,1,0,0,3
170,"Garlopa, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,0,6,0,0,6,0,0,6
171,"Gema, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,16,1,0,5,12,0,0,17
172,GIBRALTAR,,AMATE,Cerro-Amate,4,0,0,0,4,0,0,4
173,Glorieta de Goya,,EL PRADO-PARQUE MARIA LUISA,Sur,1,0,0,0,1,0,0,1
174,Glorieta de Goya,Arbolado Viario,EL PRADO-PARQUE MARIA LUISA,Sur,4,1,0,3,2,0,1,4
175,GLORIETA DOCTOR JUAN BERMUDO DE LA ROSA,Medianas y Glorietas,POLIGONO SUR,Sur,7,0,0,0,7,0,0,7
176,Glorieta e Isletas de Molini,,SECTOR SUR-LA PALMERA-REINA MERCEDES,Bellavista-La Palmera,1,0,0,0,1,0,0,1
177,GLORIETA FERNADO ZOBEL-LUIS FUENTES BEJARANO,,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,4,0,0,2,2,0,0,4
